d1_1,d1_2,d1_3
740.916,95.01,2.776
746.289,95.047,2.936
746.759,95.076,2.817
744.911,95.092,2.584
743.713,95.08,2.446
756.875,95.092,2.465
759.981,95.1,2.489
754.738,95.104,2.489
754.279,95.11,2.372
742.394,95.057,2.378
741.226,95.021,2.451
739.388,95.013,2.578
743.213,95.038,2.709
738.879,95.042,2.681
746.529,95.071,2.651
746.03,95.101,2.594
746.11,95.115,2.5
745.87,95.112,2.445
745.58,95.109,2.391
747.218,95.107,2.396
748.796,95.116,2.405
747.568,95.116,2.379
750.594,95.112,2.356
758.973,95.124,2.376
758.803,95.106,2.404
756.656,95.099,2.463
755.587,95.089,2.509
757.345,95.068,2.562
763.297,95.057,2.645
764.625,95.065,2.709
764.875,95.066,2.666
768.75,95.062,2.669
776.08,95.071,2.654
779.496,95.115,2.681
776.759,95.12,2.527
773.284,95.087,2.413
774.872,95.086,2.497
775.91,95.101,2.536
775.581,95.094,2.498
775.141,95.085,2.52
775.471,95.094,2.62
775.141,95.093,2.611
775.112,95.07,2.567
775.86,95.071,2.539
769.339,95.066,2.526
780.654,95.087,2.509
783.111,95.121,2.545
782.252,95.13,2.449
781.583,95.122,2.312
780.125,95.128,2.21
780.394,95.131,2.149
780.005,95.119,2.086
773.883,95.08,2.063
782.691,95.043,2.133
783.101,95.043,2.361
778.677,95.054,2.426
782.432,95.025,2.368
779.516,95.023,2.452
780.974,95.032,2.51
785.887,95.031,2.523
786.876,95.025,2.553
778.907,95.021,2.545
780.924,95.016,2.507
782.801,95.033,2.51
785.138,95.07,2.582
789.473,95.079,2.437
778.267,95.077,2.469
771.806,95.045,2.408
764.416,95.003,2.391
754.199,94.981,2.477
747.398,94.972,2.582
737.012,94.956,2.645
729.432,94.942,2.724
724.368,94.945,2.812
724.308,94.947,2.832
724.768,94.954,2.866
726.605,94.948,2.845
737.661,94.965,2.848
740.247,94.971,2.828
741.805,94.977,2.803
741.536,94.972,2.748
743.034,94.966,2.758
739.948,94.943,2.814
734.874,94.919,2.843
734.435,94.936,2.927
735.553,94.98,2.971
735.144,95.01,2.877
725.537,95.021,2.745
733.416,95.035,2.599
739.748,95.046,2.541
734.715,95.066,2.579
734.804,95.075,2.41
726.346,95.049,2.298
729.202,95.041,2.275
730.161,95.034,2.33
745.66,95.074,2.362
750.833,95.091,2.362
763.776,95.127,2.288
774.832,95.136,2.144
785.887,95.141,2.153
799.989,95.162,2.126
795.984,95.144,2.076
803.774,95.121,2.03
804.912,95.109,2.143
808.917,95.126,2.253
814.55,95.138,2.169
819.713,95.144,2.036
823.288,95.118,1.946
823.068,95.113,1.975
825.325,95.113,1.941
828.731,95.117,1.88
831.767,95.114,1.784
832.876,95.107,1.729
833.345,95.12,1.68
835.033,95.14,1.633
839.067,95.149,1.54
840.695,95.15,1.477
840.236,95.14,1.412
843.671,95.142,1.5
846.917,95.154,1.502
849.414,95.154,1.424
846.757,95.136,1.386
847.596,95.133,1.416
851.062,95.133,1.438
851.112,95.124,1.441
848.595,95.117,1.453
853.179,95.108,1.49
855.955,95.114,1.541
859.281,95.124,1.477
868.379,95.143,1.473
873.432,95.138,1.403
868.609,95.114,1.357
871.944,95.118,1.369
874.621,95.117,1.358
874.601,95.118,1.316
878.016,95.136,1.157
888.912,95.161,1.081
890.07,95.169,1.039
896.632,95.175,0.864
909.725,95.196,0.811
914.518,95.188,0.856
912.671,95.166,0.899
904.472,95.147,0.945
885.207,95.1,1.104
863.276,95.025,1.316
851.611,94.986,1.424
853.698,94.992,1.303
855.316,95.045,1.154
856.065,95.098,1.017
854.937,95.113,0.956
852.919,95.114,0.945
838.628,95.106,0.94
830.029,95.098,1.1
829.16,95.078,1.245
831.727,95.081,1.267
832.276,95.095,1.372
831.567,95.083,1.56
830.728,95.037,1.769
831.377,95.002,1.879
831.737,94.997,2.039
831.577,94.985,2.077
832.226,94.99,2.057
832.995,94.995,2.057
834.903,94.997,2.001
846.857,95.029,1.961
855.616,95.057,1.778
865.523,95.096,1.699
874.591,95.105,1.624
883.958,95.11,1.625
886.635,95.091,1.729
892.178,95.079,1.653
905.979,95.101,1.56
911.962,95.1,1.54
910.693,95.086,1.509
914.269,95.09,1.448
914.498,95.092,1.467
908.406,95.069,1.523
906.249,95.054,1.575
909.715,95.041,1.616
920.261,95.056,1.541
919.382,95.078,1.381
922.008,95.07,1.319
932.994,95.071,1.262
930.138,95.083,1.133
926.303,95.088,1.175
917.335,95.056,1.181
913.869,95.042,1.342
916.286,95.029,1.348
914.039,95.022,1.393
916.066,95.002,1.465
910.913,94.982,1.575
904.831,94.948,1.734
905.35,94.918,1.808
906.629,94.913,1.851
908.686,94.911,1.808
921.06,94.925,1.735
917.325,94.947,1.685
910.563,94.942,1.676
917.464,94.923,1.793
914.778,94.907,1.738
918.463,94.91,1.821
922.658,94.891,1.813
923.137,94.902,1.818
915.936,94.889,1.866
916.376,94.866,1.903
916.546,94.877,1.833
918.673,94.904,1.813
919.711,94.898,1.816
928.989,94.897,1.708
924.605,94.923,1.641
932.045,94.948,1.63
927.312,94.966,1.517
923.307,94.981,1.577
927.741,94.963,1.671
935.141,94.958,1.648
925.674,94.96,1.66
931.146,94.946,1.703
934.991,94.942,1.583
935.141,94.966,1.505
936.38,94.976,1.45
932.704,94.984,1.435
928.45,94.973,1.519
938.307,94.968,1.514
939.965,94.985,1.493
940.394,94.998,1.508
937.987,94.989,1.47
939.406,94.995,1.386
933.294,94.995,1.371
931.636,94.977,1.375
931.885,94.972,1.232
921.05,94.973,1.247
919.672,94.954,1.287
925.414,94.952,1.303
933.653,94.985,1.171
931.446,95.015,1.123
922.777,95.003,1.223
925.414,94.977,1.317
924.256,94.964,1.262
922.578,94.982,1.252
919.532,94.976,1.227
918.034,94.983,1.23
927.491,94.989,1.136
915.427,95.002,1.099
